S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,P C MOHAN,Bharatiya Janata Party,657236,1679,658915,50.05
2.0,MANSOOR ALI KHAN,Indian National Congress,625368,840,626208,47.57
3.0,SATISH CHANDRA. M.,Bahujan Samaj Party,3071,16,3087,0.23
4.0,JAYALAKSHMI SUNDARA RAJAN,Independent,2755,6,2761,0.21
5.0,SURESH BABU. M. C,Uttama Prajaakeeya Party,1735,4,1739,0.13
6.0,K. MANJUNATHA,Independent,1552,4,1556,0.12
7.0,S. M. KRISHNA,Independent,1466,8,1474,0.11
8.0,MURUGESH. R,Independent,1162,0,1162,0.09
9.0,UMA. V.,Independent,820,7,827,0.06
10.0,PRAKASH. K,Karnataka Rashtra Samithi,766,13,779,0.06
11.0,H. P. SHIVAPRAKASH,Socialist Unity Centre Of India (COMMUNIST),700,7,707,0.05
12.0,MODI SAIFULLA,Independent,688,7,695,0.05
13.0,ABHAYA SHEELA.,Rashtriya Samaj Dal (R),625,10,635,0.05
14.0,KARTHIK. K,Voters Independent Party,594,7,601,0.05
15.0,T.R. JAGANNATHA RAO,Bharatiya Prajagala Kalyana Paksha,456,4,460,0.03
16.0,VASANTH KUMAR ERAPPA,Independent,439,0,439,0.03
17.0,C.M. SHABAZ KHAN,Young Star Empowerment Party,428,1,429,0.03
18.0,WHITEFIELD MURUGESH .C,Republican Party of India (Karnataka),376,2,378,0.03
19.0,B. KRISHNA PRASAD,"Proutist Bloc, India",324,3,327,0.02
20.0,MUKTHAR ALI KHAN,Karnataka Karmikara Paksha,314,0,314,0.02
21.0,SYED ASIF BUKHARI,Independent,286,0,286,0.02
22.0,RANJITH VISHWA,Samajwadi Janata Party(Karnataka),270,4,274,0.02
23.0,RUMAN SHARIFFE,Independent,170,1,171,0.01
24.0,YALLAPPA.,Independent,158,2,160,0.01
25.0,NOTA,None of the Above,12103,23,12126,0.92
