S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,850846,7138,857984,67.37
2.0,DHANANI PARESH,Indian National Congress,368964,4760,373724,29.35
3.0,CHAMANBHAI NAGJIBHAI SAVSANI,Bahujan Samaj Party,10356,109,10465,0.82
4.0,AJAGIYA NIRALBHAI AMRUTLAL,Independent,3674,6,3680,0.29
5.0,BHAVESHBHAI KANTILAL PIPALIYA,Independent,2846,10,2856,0.22
6.0,BHAVESH UPENDRABHAI ACHARYA,Independent,2806,34,2840,0.22
7.0,PRAKASH GOVINDBHAI SINDHAV,Independent,2355,34,2389,0.19
8.0,ZALA NAYAN J.,Independent,2321,29,2350,0.18
9.0,JIGNESHBHAI MAHAJAN,Independent,1322,10,1332,0.1
10.0,NOTA,None of the Above,15288,634,15922,1.25
