S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,BASAVARAJ BOMMAI,Bharatiya Janata Party,702189,3349,705538,50.55
2.0,ANANDSWAMY GADDADEVARMATH,Indian National Congress,660191,1834,662025,47.43
3.0,SUNANDA KARIYAPPA SHIRHATTI,Independent,4705,2,4707,0.34
4.0,KHAJAMOHIDDIN GUDAGERI,Socialist Party (India),3398,3,3401,0.24
5.0,GANGADHAR BADIGER,Socialist Unity Centre Of India (COMMUNIST),2264,6,2270,0.16
6.0,RUDRAPPA BASAPPA KUMBAR,Independent,1352,4,1356,0.1
7.0,BASAVARAJ B HADI,Independent,1065,6,1071,0.08
8.0,PRAJAKEEYA SACHINKUMAR KARJEKANNAVAR,Uttama Prajaakeeya Party,1058,14,1072,0.08
9.0,DR. G H IMRAPUR,Independent,930,23,953,0.07
10.0,JAGADISH YALLAPPA BANKAPURA,Independent,660,14,674,0.05
11.0,TANU CHIKKANNA YADAV,Karnataka Rashtra Samithi,628,8,636,0.05
12.0,H K NARASIMHAPPA,Samajwadi Janata Party(Karnataka),445,1,446,0.03
13.0,VISHWANATH SHEERI,Ekam Sanatan Bharat Dal,401,0,401,0.03
14.0,RASHEEDA BEGUM,Indian Movement Party,396,1,397,0.03
15.0,NOTA,None of the Above,10831,34,10865,0.78
