S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,892766,4277,897043,55.04
2.0,ROSELINA TIRKEY,Indian National Congress,646123,1973,648096,39.76
3.0,DILUWARA BEGUM CHOWDHURY,Independent,11719,24,11743,0.72
4.0,BINOD GOGOI,Independent,10625,54,10679,0.66
5.0,ANIMA DEKA GUPTA,Voters Party  International,8641,32,8673,0.53
6.0,TRIDIV JYOTI BHUYAN,Independent,8091,37,8128,0.5
7.0,ABDUL HOQUE,Independent,6395,46,6441,0.4
8.0,JYOTISKA RANJAN GOSWAMI,Independent,4494,44,4538,0.28
9.0,SAILEN CH MALAKAR,Bharatiya Gana Parishad,3698,22,3720,0.23
10.0,SALIM AHMED,Asom Jana Morcha,3243,23,3266,0.2
11.0,SALEH AHMED MAZUMDAR,Republican Party of India (Athawale),3160,19,3179,0.2
12.0,NOTA,None of the Above,24212,219,24431,1.5
