S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,375019,1539,376558,32.71
2.0,GURMEET SINGH KHUDIAN,Aam Aadmi Party,325019,1883,326902,28.4
3.0,JEETMOHINDER SINGH SIDHU,Indian National Congress,200859,1152,202011,17.55
4.0,PARAMPAL KAUR SIDHU,Bharatiya Janata Party,110255,507,110762,9.62
5.0,LAKHVIR SINGH LAKHA SIDHANA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),84222,462,84684,7.36
6.0,NIKKA SINGH,Bahujan Samaj Party,12979,60,13039,1.13
7.0,JAGJIWAN BALLI,Independent,5480,4,5484,0.48
8.0,PARWINDER SINGH,Independent,4494,3,4497,0.39
9.0,PALA RAM,Independent,3428,7,3435,0.3
10.0,BHAGWANT SINGH SAMAON,Independent,3372,16,3388,0.29
11.0,GURMEET SINGH,Independent,3072,10,3082,0.27
12.0,JASVIR SINGH BATHINDA,Aazad Samaj Party (Kanshi Ram),3039,106,3145,0.27
13.0,GURPREET SINGH URF PREET GHAINT,Jan Sewa Driver Party,2619,9,2628,0.23
14.0,GURBARN SINGH,Independent,1618,9,1627,0.14
15.0,NAIB SINGH,Bharatheeya Jawan Kisan Party,1593,8,1601,0.14
16.0,KULWANT SINGH,Independent,1172,10,1182,0.1
17.0,AMANDEEP SINGH,Independent,1146,2,1148,0.1
18.0,POONAM RANI,Nationalist Justice Party,1060,4,1064,0.09
19.0,NOTA,None of the Above,4818,115,4933,0.43
