S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,ADV K FRANCIS GEORGE,Kerala Congress,358369,6262,364631,43.6
2.0,THOMAS CHAZHIKADAN,Kerala Congress  (M),272418,4947,277365,33.17
3.0,THUSHAR VELLAPPALLY,Bharath Dharma Jana Sena,163227,1819,165046,19.74
4.0,VIJU CHERIAN,Bahujan Samaj Party,7075,148,7223,0.86
5.0,P O PETER,Samajwadi Jan Parishad,1581,56,1637,0.2
6.0,V P KOCHUMON,Socialist Unity Centre Of India (COMMUNIST),1551,44,1595,0.19
7.0,JOSSIN K JOSEPH,Independent,1397,92,1489,0.18
8.0,CHANDRABOSE P,Independent,1071,16,1087,0.13
9.0,M M SCARIA,Independent,913,14,927,0.11
10.0,JOEMON JOSEPH SRAMPICKAL A P J JUMAN V S,Independent,875,18,893,0.11
11.0,ROBY MATTAPPALLY,Independent,697,42,739,0.09
12.0,SANTHOSH PULICKAL,Independent,686,24,710,0.08
13.0,SUNIL ALANCHERIL,Independent,499,28,527,0.06
14.0,MAN HOUSE MANMADHAN,Independent,403,18,421,0.05
15.0,NOTA,None of the Above,11804,129,11933,1.43
