S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,SMT. HIMADRI SINGH,Bharatiya Janata Party,709477,1666,711143,61.73
2.0,PHUNDE LAL SINGH MARKO,Indian National Congress,312833,970,313803,27.24
3.0,ANIL SINGH DHURVEY,Gondvana Gantantra Party,35186,92,35278,3.06
4.0,DHANI RAM KOL,Bahujan Samaj Party,21792,62,21854,1.9
5.0,SAMAR SHAH SINGH GOND,Communist Party of India,19861,22,19883,1.73
6.0,KESHKALI BAIGA,Independent,10042,29,10071,0.87
7.0,GUNJAN SINGH,Independent,7460,19,7479,0.65
8.0,RAVIKARAN SINGH DHURVE,Bhartiya Shakti Chetna Party,4964,11,4975,0.43
9.0,AMRIT LAL SINGH UIKEY,Peoples Party of India (Democratic),4701,21,4722,0.41
10.0,DR. DURGA WATI BHARIA,Chhattisgarh Vikas Ganga Rashtriya Party,3425,19,3444,0.3
11.0,NOTA,None of the Above,19341,20,19361,1.68
