S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),393735,1920,395655,51.18
2.0,YAMINI YASHWANT JADHAV,Shiv Sena,341291,1691,342982,44.36
3.0,AFZAL S. DAWOODANI,Vanchit Bahujan  Aaghadi,5575,37,5612,0.73
4.0,MOHAMMED SHUAIB BASHIR KHATEEB,Bahujan Samaj Party,4440,38,4478,0.58
5.0,ARVIND NARAYAN SAWANT,Independent,3065,25,3090,0.4
6.0,MOHD. NAEEM SHAIKH,Aim Political Party,1709,6,1715,0.22
7.0,SABEEHA KHAN,Independent,1678,16,1694,0.22
8.0,GOHIL MANISHA SHIVRAM,Independent,1032,13,1045,0.14
9.0,SHANKAR SONAWANE,Independent,854,8,862,0.11
10.0,RAHUL PHANASWADIKAR,Lokshahi Ekta Party,784,3,787,0.1
11.0,SUBHASH RAMESH CHIPLUNKAR,Rashtriya Kisan Bahujan Party,563,4,567,0.07
12.0,PRASHANT PRAKASH GHADGE,Independent,487,3,490,0.06
13.0,MOHAMMED MAHTAB SHAIKH,Independent,455,3,458,0.06
14.0,MATEEN AHMED RANGREJ,Independent,265,2,267,0.03
15.0,NOTA,None of the Above,13290,121,13411,1.73
