S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,MANSUKHBHAI DHANJIBHAI VASAVA,Bharatiya Janata Party,605489,2668,608157,50.72
2.0,CHAITARBHAI DAMJIBHAI VASAVA,Aam Aadmi Party,518419,4042,522461,43.58
3.0,DILIPBHAI CHHOTUBHAI VASAVA,Bharat Adivasi Party,9981,33,10014,0.84
4.0,SAJID YAKUB MUNSHI,Independent,9934,3,9937,0.83
5.0,VASAVA CHETANBHAI KANJIBHAI,Bahujan Samaj Party,6312,12,6324,0.53
6.0,NAVINBHAI BHIKHABHAI PATEL,Independent,3440,13,3453,0.29
7.0,YUSUF VALI HASANALI,Independent,3245,2,3247,0.27
8.0,GITABEN MANUBHAI MACHHI,Malwa Congress,2750,14,2764,0.23
9.0,MITESHBHAI THAKORBHAI PADHIYAR,Independent,2451,8,2459,0.21
10.0,MIRZA AABIDBEG YASINBEG,Independent,2043,7,2050,0.17
11.0,ISMAIL AHMAD PATEL,Independent,1887,15,1902,0.16
12.0,NARAYANBHAI LILADHARJI RAVAL,Independent,1574,9,1583,0.13
13.0,DHARMESHKUMAR VISHNUBHAI VASAVA,Independent,1324,6,1330,0.11
14.0,NOTA,None of the Above,23151,132,23283,1.94
