S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,MOHAMMAD JAWED,Indian National Congress,402470,380,402850,35.0
2.0,MUJAHID ALAM,Janata Dal  (United),342795,363,343158,29.81
3.0,AKHTARUL IMAN,All India Majlis-E-Ittehadul Muslimeen,309011,253,309264,26.87
4.0,BIDESHI RISHIDEV,Independent,11815,3,11818,1.03
5.0,VISHWANATH TUDU,Independent,11300,2,11302,0.98
6.0,MD GUFRAN JAMALI,Independent,9992,1,9993,0.87
7.0,HASIRUL,Independent,9522,2,9524,0.83
8.0,BABUL ALAM,Bahujan Samaj Party,7575,4,7579,0.66
9.0,RAVI KUMAR ROY,Independent,7299,3,7302,0.63
10.0,SHAHABUZZAMA BHARTIYA,Rashtriya Samaj Paksha,6055,0,6055,0.53
11.0,CHHOTE LAL MAHTO,Independent,3758,5,3763,0.33
12.0,MOHAMMAD KAUSAR PERWEZ,Independent,3525,0,3525,0.31
13.0,NOTA,None of the Above,24953,13,24966,2.17
