S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,V. SOMANNA,Bharatiya Janata Party,716709,4237,720946,55.31
2.0,S.P. MUDDAHANUMEGOWDA,Indian National Congress,543064,2288,545352,41.84
3.0,J.K. SAMI,Independent,6761,14,6775,0.52
4.0,RAJASIMHA J. N.,Bahujan Samaj Party,5521,33,5554,0.43
5.0,S.N. SWAMY,Socialist Unity Centre Of India (COMMUNIST),4582,9,4591,0.35
6.0,RANGANATHA. R.S,Independent,3129,3,3132,0.24
7.0,MALLIKARJUNAIAH,Independent,1872,8,1880,0.14
8.0,SIDDARAMEGOWDA T. B,Independent,1644,2,1646,0.13
9.0,PRADEEP KUMAR DODDAMUDDEGOWDA,Karnataka Rashtra Samithi,1606,12,1618,0.12
10.0,H.L. MOHAN KUMAR,Independent,890,3,893,0.07
11.0,PRAKASH. R.A. JAIN,Independent,859,4,863,0.07
12.0,NEELAKANTESHA. H S,Independent,710,9,719,0.06
13.0,R. PUSHPA,Independent,622,7,629,0.05
14.0,B. DEVARAJ,Independent,491,8,499,0.04
15.0,R. NARAYANAPPA,Independent,483,24,507,0.04
16.0,DR. H.B.M. HIREMATH,Kannada  Paksha,477,0,477,0.04
17.0,KAPANIGOWDA.,Independent,451,20,471,0.04
18.0,BASAVARAJU. H.R,National Maha Sabha Party,433,6,439,0.03
19.0,NOTA,None of the Above,6426,34,6460,0.5
