S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,PRANITI SUSHILKUMAR SHINDE,Indian National Congress,618350,1875,620225,51.49
2.0,RAM VITTHAL SATPUTE,Bharatiya Janata Party,544770,1258,546028,45.33
3.0,AATISH MOHAN BANSODE,Independent,10493,14,10507,0.87
4.0,BABLU SIDRAM GAIKWAD,Bahujan Samaj Party,5236,32,5268,0.44
5.0,SHRIVIDYADURGADEVI MAULAPPA KURANE,Independent,3489,4,3493,0.29
6.0,RAMESH BHIMRAO SHIKHARE,Independent,3146,0,3146,0.26
7.0,PROF DR ARJUN GENA OHOL,Bahujan Mukti Party,2651,3,2654,0.22
8.0,BHANTENAAGAMURTI MOULAPPA KURANE,Independent,1547,7,1554,0.13
9.0,SUNILKUMAR TUKARAM SHINDE,Independent,1478,2,1480,0.12
10.0,YUGANDHAR CHANDRAKANT THOKALE,Peoples Party of India (Democratic),1125,0,1125,0.09
11.0,PARMESHWAR PANDURANG GEJAGE,Independent,885,1,886,0.07
12.0,ADV VIKRAM UTTAM KASABE,Independent,843,3,846,0.07
13.0,UGHADE VIJAYKUMAR BHAGWAN,Independent,832,1,833,0.07
14.0,KUMAR CHANDRAKANT LONDHE,Baliraja Party,678,1,679,0.06
15.0,KRISHNA NAGNATH BHISE,Independent,561,1,562,0.05
16.0,ANNA SUKHADEV MASKE,Independent,496,5,501,0.04
17.0,MAHASIDDHA TUKARAM GAYAKWAD,Independent,406,3,409,0.03
18.0,SUDARSHAN RAYCHAND KHANDARE,Independent,400,1,401,0.03
19.0,SONAVANE SHIVAJI CHANDRAKANT,Independent,394,0,394,0.03
20.0,SACHIN SHAHU MASKE,Independent,389,0,389,0.03
21.0,PROF. DR. SUBHASH KHANDERAO GAIKWAD,Independent,379,1,380,0.03
22.0,NOTA,None of the Above,2713,12,2725,0.23
