S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party,625962,7156,633118,68.15
2.0,LALIT VASOYA,Indian National Congress,245677,4081,249758,26.89
3.0,N. P. RATHOD,Bahujan Samaj Party,10560,362,10922,1.18
4.0,NATHABHAI BHURABHAI ODEDRA,Independent,7164,132,7296,0.79
5.0,LAKHANSI ODEDARA,Viro Ke Vir Indian Party,3130,33,3163,0.34
6.0,SOLANKI JATIN DHIRUBHAI,Independent,2469,17,2486,0.27
7.0,SODHA HUSHENBHAI ALIBHAI,Independent,2432,3,2435,0.26
8.0,RATHOD CHANDUBHAI MOHANBHAI,Independent,1705,24,1729,0.19
9.0,SHEKHAVA NILESHKUMAR RAMJIBHAI,Samajwadi Party,1587,22,1609,0.17
10.0,SIDHHAPARA HARSUKHLAL JIVANBHAI,Log Party,1059,13,1072,0.12
11.0,MAHEMUDBHAI SAIYAD,Independent,1023,6,1029,0.11
12.0,JETHAVA BIPINKUMAR BHIKHALAL,Independent,786,11,797,0.09
13.0,NOTA,None of the Above,13004,559,13563,1.46
