S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,BHUMARE SANDIPANRAO ASARAM,Shiv Sena,474434,1696,476130,36.56
2.0,IMTIAZ JALEEL SYED,All India Majlis-E-Ittehadul Muslimeen,340877,603,341480,26.22
3.0,CHANDRAKANT KHAIRE,Shiv Sena (Uddhav Balasaheb Thackrey),291870,1580,293450,22.53
4.0,AFSAR KHAN YASEEN KHA,Vanchit Bahujan  Aaghadi,69087,179,69266,5.32
5.0,HARSHWARDHAN DADA RAIBHANJI JADHAV,Independent,39654,174,39828,3.06
6.0,SURENDRA DIGAMBAR GAJBHARE,Independent,10719,6,10725,0.82
7.0,SANJAY UTTAMRAO JAGTAP,Bahujan Samaj Party,8188,64,8252,0.63
8.0,RAVINDRA BHASKARRAO BODKHE,Bharatiya Yuva Jan Ekta Party,6250,4,6254,0.48
9.0,ABDUL AZIM ABDUL AZIZ SHAIKH,Independent,4693,0,4693,0.36
10.0,SANJAY BHASKAR SHIRSAT,Independent,3809,3,3812,0.29
11.0,DR JIVAN BHAWLAL RAJPUT,Independent,3788,19,3807,0.29
12.0,MANISHA KHARAT,Bahujan Maha Party,3097,8,3105,0.24
13.0,JAGANNATH KHANDERAO JADHAV J K JADHAV,Independent,2916,16,2932,0.23
14.0,MAANOJ VINAYAKRAO GHODKAY,Independent,2582,5,2587,0.2
15.0,SANGITA GANESH JADHAV,Independent,2206,6,2212,0.17
16.0,GALPHADE ARJUN BHAGWANRAO,Rashtriya Kisan Bahujan Party,2185,7,2192,0.17
17.0,VISHAL UDDHAV NANDARKAR,Independent,2132,7,2139,0.16
18.0,ARVIND KISANRAO KAMBLE,Bahujan Republican  Socialist Party,1975,4,1979,0.15
19.0,PRASHANT PUNDALIKRAO AVHALE,Independent,1945,3,1948,0.15
20.0,GHUGE NITIN PUNDLIK,Independent,1870,2,1872,0.14
21.0,BHALERAO VASANT SAMBHAJI,Prabuddha Republican Party,1546,1,1547,0.12
22.0,BHARAT PURUSHOTTAM KADAM,Rashtriya Maratha Party,1489,6,1495,0.11
23.0,ABDUL SAMAD BAGWAN,All India Majlis-E-Inquilab-E-Millat,1478,4,1482,0.11
24.0,SANDIP DADARAO MANKAR,Independent,1373,2,1375,0.11
25.0,ADV B U GOSAWI,Hindustan Janta Party,1271,4,1275,0.1
26.0,PANCHASHILA BABULAL JADHAV,Republican Bahujan Sena,1267,7,1274,0.1
27.0,PRATIKSHA PRASHANT CHAVAN,Ambedkarist Republican Party,1187,7,1194,0.09
28.0,BHANUDAS SON OF RAMDAS SARODE PATIL,Independent,1107,3,1110,0.09
29.0,NARAYAN JADHAV,Peoples Party of India (Democratic),1100,3,1103,0.08
30.0,SURESH ASARAM FULARE,Independent,910,1,911,0.07
31.0,SHAIKH KHAJA KISMATWALA KASIM KISMATWALA,Independent,892,2,894,0.07
32.0,MEENASING AVDHESHSING SING,Independent,783,1,784,0.06
33.0,LATIF JABBAR KHAN,Independent,765,0,765,0.06
34.0,JAGANNATH KISAN UGALE,Independent,753,2,755,0.06
35.0,SANDIP DEVIDAS JADHAV,Independent,609,0,609,0.05
36.0,DEVIDAS RATAN KASBE,Independent,595,0,595,0.05
37.0,TRIBHUVAN MADHUKAR PADMAKAR,Independent,593,0,593,0.05
38.0,NOTA,None of the Above,5729,44,5773,0.44
