S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,GAIKWAD VARSHA EKNATH,Indian National Congress,444098,1447,445545,48.93
2.0,ADV UJWAL NIKAM,Bharatiya Janata Party,427387,1644,429031,47.12
3.0,SANTOSH GANPAT AMBULGE,Vanchit Bahujan  Aaghadi,8233,55,8288,0.91
4.0,AYYUB AMIN HUNGUND,Bahujan Samaj Party,3229,14,3243,0.36
5.0,ANSON THOMAS,People's Party of India(secular),2207,4,2211,0.24
6.0,RAMZAN ALI CHAUDHARY,All India Majlis-E-Ittehadul Muslimeen,1521,10,1531,0.17
7.0,AJAZ MOHAMMAD SAFI KHAN,Independent,1041,0,1041,0.11
8.0,HAYATULAH ABDULAH SHAIKH,Akhil Bharatiya Muslim League (Secular),818,3,821,0.09
9.0,NAZMAKHATHUN MOHAMMED ZAFAR KHAN,Independent,730,2,732,0.08
10.0,SHANTARAM S DIGHE,Independent,723,10,733,0.08
11.0,NARENDRA MISHRA,Independent,706,2,708,0.08
12.0,ADV ASIF ALI SIDDIQUIE,Independent,681,2,683,0.08
13.0,HARSHADA BABURAV JADHAV,Maharashtra Vikas Aghadi,673,17,690,0.08
14.0,RAMA ARUN SABLE,Independent,626,10,636,0.07
15.0,SANDEEP BHAU RAMCHANDRA JADHAV,Independent,619,4,623,0.07
16.0,DR GAFFAR IBRAHIM SAYED,Independent,584,2,586,0.06
17.0,ADV UTTAMKUMAR NAKUL SAJANI SAHU,Independent,554,4,558,0.06
18.0,KHAN ABBAS AHMED,Bahujan Maha Party,427,1,428,0.05
19.0,MUSHTAQUE HAIDER SHAIKH,Independent,405,0,405,0.04
20.0,DR ADV YASHWANT RAMBHAU KASBE,Bhartiya Jan Vikas Aaghadi,385,6,391,0.04
21.0,KURBAN SHAHADAT HUSAIN,Rashtriya Ulama Council,366,1,367,0.04
22.0,ABDUL TAHIR ADVOCATE BABLU RAJNIKANT,Independent,355,0,355,0.04
23.0,SHAUKAT ABDUL RAFIQ KHAN,Insaniyat Party,341,4,345,0.04
24.0,RAJESH MOHAN LOKHANDE,Independent,282,7,289,0.03
25.0,YUNUSALI RASHID MULLA,Independent,220,0,220,0.02
26.0,ADV FEROZ SHAIKH,Independent,180,0,180,0.02
27.0,MUZAFAR ALI SHAIKH,Independent,173,0,173,0.02
28.0,NOTA,None of the Above,9665,84,9749,1.07
