S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),591899,2908,594807,48.53
2.0,RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,498514,1820,500334,40.83
3.0,ANIL JAYRAM RATHOD,Samnak Janta Party,56175,215,56390,4.6
4.0,HARISING (HARIBHAU) NASARU RATHOD,Bahujan Samaj Party,17256,140,17396,1.42
5.0,SANGITA DINESH CHAVHAN,Independent,7169,11,7180,0.59
6.0,RAMDAS BAJIRAO GHODAM,Independent,6776,5,6781,0.55
7.0,VINOD PANJABRAO NANDAGAVALI,Independent,6291,7,6298,0.51
8.0,SANDIP SAMPAT SHINDE,Independent,5511,3,5514,0.45
9.0,DHARAM DILIPSING THAKUR,Sanman Rajkiya Paksha,4539,16,4555,0.37
10.0,AMOL KOMAWAR,Hindrashtra Sangh,3364,13,3377,0.28
11.0,UTTAM ONKAR INGOLE,Peoples Party of India (Democratic),2958,17,2975,0.24
12.0,MANOJ MAHADEORAO GEDAM,Independent,2783,11,2794,0.23
13.0,NUR ALI MAHEBUB ALI SHAH,Independent,1951,7,1958,0.16
14.0,DR ARJUNKUMAR SITARAM RATHOD,Independent,1857,6,1863,0.15
15.0,PRO KISAN RAMRAO AMBURE,Independent,1705,15,1720,0.14
16.0,DIKSHANT NAMDEVRAO SAWAIKAR,Independent,1095,8,1103,0.09
17.0,GOKUL PREMDAS CHAVHAN,Independent,1091,3,1094,0.09
18.0,NOTA,None of the Above,9316,75,9391,0.77
