S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,DR BYREDDY SHABARI,Telugu Desam,689417,11714,701131,49.92
2.0,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,583155,6001,589156,41.95
3.0,J LAKSHMI NARASIMHA YADAV,Indian National Congress,54920,1284,56204,4.0
4.0,P GURUVAIAH,Independent,8190,1,8191,0.58
5.0,A CHINNA MOULALI,Bahujan Samaj Party,7768,63,7831,0.56
6.0,HAFIZ ATAULLAH KHAN,Social Democratic Party Of India,6858,74,6932,0.49
7.0,KOMMUSANI PEDDA KAMBAGIRI SWAMY,Independent,4633,0,4633,0.33
8.0,GAGGERA VENKATA RAMANAIAH,Independent,3027,4,3031,0.22
9.0,DUMAVATH SWAMY NAIK,Independent,2348,10,2358,0.17
10.0,KUNUKUNTLA RAMUDU,Independent,1408,5,1413,0.1
11.0,E ANIL KUMAR,Independent,1332,2,1334,0.09
12.0,C SURENDRA NATHA REDDY,Independent,1267,1,1268,0.09
13.0,BRAHMANANDA REDDY K,Independent,1261,11,1272,0.09
14.0,UPPU SUBBARAYUDU,Jaathia Chethi Vruthula Ikya Vedika Party,785,6,791,0.06
15.0,NAGESWARA RAO,Independent,678,2,680,0.05
16.0,VIJAYA BHASKAR REDDYPOGU,Independent,641,0,641,0.05
17.0,YELAMPALLE GOVARDHAN REDDY,All India Forward Bloc,638,4,642,0.05
18.0,BHUMA VEERA BHADRA REDDY,Navarang Congress Party,630,16,646,0.05
19.0,PANDU RANGA YADAV SIDDAPU,Samajwadi Party,594,11,605,0.04
20.0,CHANDINI REDDY VAKATI,Liberation Congress Party,546,10,556,0.04
21.0,B C RAMANADHA AREDDY,Independent,472,0,472,0.03
22.0,GAJULA SHALIMIYA,Anna YSR Congress Party,468,18,486,0.03
23.0,KULURU RAMA KRISHNA REDDY,Neethi Nijayithi Party,428,2,430,0.03
24.0,CH P MALLESWARUDU,Independent,417,4,421,0.03
25.0,I V PAKKIR REDDY,Independent,408,2,410,0.03
26.0,V MADHUSUDHANA REDDY,Independent,399,2,401,0.03
27.0,BUSHAKU MAHESWARA REDDY,Independent,390,0,390,0.03
28.0,U P MUNI REDDY,Independent,376,0,376,0.03
29.0,GOGULA SUGUNAMMA,Jai Maha Bharath Party,375,4,379,0.03
30.0,BELLAMKONDA SREENIVASULU,Independent,352,1,353,0.03
31.0,BALIJA SHIVA KUMAR,Independent,288,0,288,0.02
32.0,NOTA,None of the Above,10538,159,10697,0.76
