S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,TATKARE SUNIL DATTATREY,Nationalist Congress Party,506529,1823,508352,50.17
2.0,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),423137,2431,425568,42.0
3.0,KUMUDINI RAVINDRA CHAVAN,Vanchit Bahujan  Aaghadi,19500,118,19618,1.94
4.0,SHRINIVAS SATYANARAYAN MATTAPARTI,Independent,9379,15,9394,0.93
5.0,AMIT SHRIPAL KAWADE,Independent,5603,31,5634,0.56
6.0,ANANT BALOJI GITE,Independent,3485,30,3515,0.35
7.0,NITIN JAGANNATH MAYEKAR,Independent,2548,12,2560,0.25
8.0,CHAULE PANDURANG DAMODAR,Independent,2394,23,2417,0.24
9.0,ANANT PADMA GITE,Independent,2001,39,2040,0.2
10.0,COL PRAKASHRAO CHAVAN,Bharatheeya Jawan Kisan Party,1863,76,1939,0.19
11.0,KOLI MANGESH PADMAKAR,Independent,1797,23,1820,0.18
12.0,ADV AJAY UPADHYE,Independent,1756,39,1795,0.18
13.0,ANJANI ASHWIN KELKAR,Independent,1325,25,1350,0.13
14.0,NOTA,None of the Above,27188,82,27270,2.69
