S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,P. P. CHAUDHARY,Bharatiya Janata Party,750568,6821,757389,55.94
2.0,SANGEETA BENIWAL,Indian National Congress,505754,6284,512038,37.82
3.0,LAL SINGH DEWASI,Independent,18848,154,19002,1.4
4.0,HUKAM SINGH,Independent,16835,262,17097,1.26
5.0,MAHENDRA REGAR,Bahujan Samaj Party,11054,47,11101,0.82
6.0,JEEVARAM RANA,Bharat Adivasi Party,8325,22,8347,0.62
7.0,SHRAWAN RAM DEWASI,Independent,5585,8,5593,0.41
8.0,MUKESH SAINI,Independent,2471,52,2523,0.19
9.0,BASTIRAM,Indian Peoples Green Party,1570,16,1586,0.12
10.0,BHIYARAM,Independent,1335,10,1345,0.1
11.0,ANAND KUMAR PARIHAR,Independent,1327,8,1335,0.1
12.0,KESARAM,Independent,1327,18,1345,0.1
13.0,DEEPAK BAMNIYA,Independent,1256,32,1288,0.1
14.0,NOTA,None of the Above,13763,90,13853,1.02
