S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),596871,4472,601343,45.17
2.0,JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,463764,3518,467282,35.1
3.0,PANJAB UTTAMRAO DAKH,Vanchit Bahujan  Aaghadi,95394,573,95967,7.21
4.0,DR. GOVARDHAN BHIWAJI KHANDAGALE,Bahujan Bharat Party,15355,40,15395,1.16
5.0,KAMBLE SHIVAJI DEVAJI,Independent,11050,10,11060,0.83
6.0,ALAMGIR MOHAMMAD KHAN,Bahujan Samaj Party,10972,90,11062,0.83
7.0,SAMIR GANESHRAO DUDHGAONKAR,Independent,10951,105,11056,0.83
8.0,KRUSHNA TRIMBAKRAO PAWAR,Independent,10145,9,10154,0.76
9.0,KAILAS BALIRAM PAWAR (NAIK),Baliraja Party,9487,33,9520,0.72
10.0,PROF. DR. VILAS BANSIDHAR TANGADE,Independent,8814,6,8820,0.66
11.0,ARJUN DNYANOBA BHISE,Independent,6915,8,6923,0.52
12.0,COMRADE RAJAN KSHIRSAGAR,Communist Party of India,6627,22,6649,0.5
13.0,KISHORKUMAR PRAKASH SHINDE,Independent,6547,1,6548,0.49
14.0,KISHORE RADHAKISHAN DHAGE,Independent,5446,34,5480,0.41
15.0,SAYED IRSHAD ALI SAYYED LAYAKH ALI,Social Democratic Party Of India,4629,15,4644,0.35
16.0,DASHARATH PRABHKAR RATHOD,Maharashtra Vikas Aghadi,4354,40,4394,0.33
17.0,KARBHARI KUNDLIK MITHE,Independent,4268,8,4276,0.32
18.0,APPASAHEB OMKAR KADAM,Independent,3883,8,3891,0.29
19.0,SHRIRAM BANSILAL JADHAV,Jai Sewalal Bahujan Vikas Party,3617,11,3628,0.27
20.0,COMRADE GANPAT BHISE,Independent,3589,15,3604,0.27
21.0,DNYANESHWAR JAGANNATH DAHIBHATE,Independent,3538,1,3539,0.27
22.0,ANIL MANIKRAO MUDGALKAR,Independent,3531,2,3533,0.27
23.0,GOVIND BHAIYYA RAMRAO DESHMUKH,Independent,3452,7,3459,0.26
24.0,SUBHASH DATTARAV JAVLE,Independent,3429,5,3434,0.26
25.0,RAJABHAU SHESHRAO KAKDE,Independent,3299,3,3302,0.25
26.0,RAJENDRA RAMDAS ATKAL,Independent,2807,5,2812,0.21
27.0,SAYYD ABDUL SATTAR AJIJ,Independent,2646,4,2650,0.2
28.0,SHAIKH SALEEM SHAIKH IBRAHIM,All India Majlis-E-Inquilab-E-Millat,2617,2,2619,0.2
29.0,SANGEETA VYAKANTRAO GIRI,Swarajya Shakti Sena,2324,15,2339,0.18
30.0,ADV. VINOD CHHAGANRAO AMBHORE,Bahujan Mukti Party,2017,24,2041,0.15
31.0,VIJAY ANNASAHEB THOMBARE,Independent,1957,2,1959,0.15
32.0,VISHNUDAS SHIVAJI BHOSALE,Independent,1856,4,1860,0.14
33.0,MUSTAFA MAINODDIN SHAIKH,Independent,1298,4,1302,0.1
34.0,BOBADE SAKHARAM PADEGAONKAR,Independent,1244,2,1246,0.09
35.0,NOTA,None of the Above,3306,79,3385,0.25
