S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,526865,2029,528894,46.88
2.0,CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,467452,2000,469452,41.61
3.0,AVINASH VISHWANATH BHOSIKAR,Vanchit Bahujan  Aaghadi,92090,422,92512,8.2
4.0,PANDURANG RAMA ADGULWAR,Bahujan Samaj Party,6879,22,6901,0.61
5.0,NIKHIL LAXMANRAO GARJE,Independent,4320,5,4325,0.38
6.0,NAGESH SAMBHAJI GAIKWAD,Independent,3316,2,3318,0.29
7.0,BHASKAR CHAMPATRAO DOIFODE,Independent,2078,2,2080,0.18
8.0,SUSHILA NILKANTHRAO PAWAR,Samnak Janta Party,1873,17,1890,0.17
9.0,ABDUL RAIS AHEMAD,Desh Janhit Party,1508,2,1510,0.13
10.0,DEVIDAS GOVINDRAO INGLE,Independent,1466,5,1471,0.13
11.0,KALPANA SANJAY GAIKWAD,Independent,1305,5,1310,0.12
12.0,KAUSAR SULTANA,Indian National League,1211,4,1215,0.11
13.0,SAHEBRAO BHIVA GAJBHARE,Independent,1189,4,1193,0.11
14.0,JAGDISH LAXMAN POTRE,Independent,960,3,963,0.09
15.0,GAJANAN DATTRAMJI DHUMAL,Independent,948,2,950,0.08
16.0,LAXMAN NAGORAO PATIL,Independent,921,2,923,0.08
17.0,MAHARUDRA KESHAV POPLAITKAR,Independent,911,2,913,0.08
18.0,RUKMINBAI SHANKARRAO GITE,Bharatiya Praja Surajya Paksha,897,6,903,0.08
19.0,HARI PIRAJI BOYALE,Bahujan Bharat Party,877,1,878,0.08
20.0,RATHOD SURESH GOPINATH,Independent,806,2,808,0.07
21.0,KADAM SURAJ DEVENDRA,Independent,796,3,799,0.07
22.0,RAHUL SURYAKANT YANGADE,Bahujan Mukti Party,734,3,737,0.07
23.0,DNYANESHWAR RAOSAHEB KAPATE,Independent,679,2,681,0.06
24.0,NOTA,None of the Above,3579,49,3628,0.32
