S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,DR SHRIKANT EKNATH SHINDE,Shiv Sena,587921,1715,589636,56.38
2.0,VAISHALI DAREKAR - RANE,Shiv Sena (Uddhav Balasaheb Thackrey),379236,1256,380492,36.39
3.0,MO. SAHABUDDIN SHAIKH SULEMANI THAKUR,Vanchit Bahujan  Aaghadi,18697,44,18741,1.79
4.0,PRASHANT RAMESH INGLE,Bahujan Samaj Party,11285,56,11341,1.08
5.0,AMIT UPADHYAY,Right to Recall Party,4185,20,4205,0.4
6.0,ARUN BHAURAO NITURE,Rashtriya Kisan Bahujan Party,2751,2,2753,0.26
7.0,AMRISH RAJ MORAJKAR,Independent,2616,4,2620,0.25
8.0,ASHWINI AMOL KENDRE,Independent,2461,7,2468,0.24
9.0,NAFIS AHMED ANSARI,Independent,1997,3,2000,0.19
10.0,SUSHILA KASHINATH KAMBLE,Bahujan Samaj Party  (Ambedkar),1847,11,1858,0.18
11.0,ABHIJIT WAMANRAO BICHUKALE,Independent,1823,1,1824,0.17
12.0,AJAY SHYAM MORYA,Independent,1798,4,1802,0.17
13.0,SAMBHAJI JAGANNATH JADHAV,Sanyukt Bharat Paksh,1607,2,1609,0.15
14.0,CHANDRAKANT RAMBHAJI MOTE,Independent,1378,2,1380,0.13
15.0,POONAM JAGANNATH BAISANE,Bahujan Republican  Socialist Party,1376,5,1381,0.13
16.0,HINDURAO DADU PATIL,Rashtriya Maratha Party,1236,7,1243,0.12
17.0,GAWALI PRAVIN SHIVAJI,Apni Prajahit Party,1080,2,1082,0.1
18.0,ARUN VAMAN JADHAV,Independent,1077,5,1082,0.1
19.0,SHRIDHAR NARAYAN SALVE,Bhim Sena,1068,4,1072,0.1
20.0,SHRIKANT SHIVAJI VANJARE,Peoples Party of India (Democratic),806,2,808,0.08
21.0,PRAJAKTA NILESH YELVE,Independent,780,3,783,0.07
22.0,DNYANESHWAR LOKHANDE MAHARAJ,Independent,738,3,741,0.07
23.0,ADV. HITESH JAIKISHAN JESWANI,Independent,712,3,715,0.07
24.0,MOHAMMAD YUSUF KHAN,Independent,648,5,653,0.06
25.0,RAKESH KUMAR DHISULAL JAIN,Independent,599,3,602,0.06
26.0,SHIVA KRISHNAMURTI IYER,Independent,435,2,437,0.04
27.0,SALIMUDDIN KHALILUDDIN SHAIKH,Independent,370,1,371,0.04
28.0,DR. SACHIN SAHEBRAO PATIL,Independent,346,5,351,0.03
29.0,NOTA,None of the Above,11603,83,11686,1.12
