S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,569651,2015,571666,48.91
2.0,SANJAY (KAKA) PATIL,Bharatiya Janata Party,469392,2221,471613,40.35
3.0,CHANDRAHAR SUBHASH PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),60115,745,60860,5.21
4.0,ALLAUDDIN HAYATCHAND KAZI,Independent,9269,13,9282,0.79
5.0,PRAKASH SHIVAJIRAO SHENDGE,Independent,8150,101,8251,0.71
6.0,PANDURANG RAOSAHEB BHOSALE,Bharatheeya Jawan Kisan Party,5518,47,5565,0.48
7.0,TIPUSULATAN SIKANDAR PATAVEGAR,Bahujan Samaj Party,5502,58,5560,0.48
8.0,MAHESH YASHWANT KHARADE,Swabhimani Paksha,5491,30,5521,0.47
9.0,RAVINDRA CHANDAR SOLANKAR,Independent,3649,9,3658,0.31
10.0,ANAND SHANKAR NALAGE,Baliraja Party,3531,9,3540,0.3
11.0,SHASHIKANT GAUTAM DESHMUKH,Independent,3143,12,3155,0.27
12.0,SATISH LALITA KRISHNA KADAM,Hindustan Janta Party,2851,8,2859,0.24
13.0,SUWARNATAI SUDHAKAR GAYAKWAD,Independent,1925,12,1937,0.17
14.0,DATTATRAY PANDIT PATIL,Independent,1468,1,1469,0.13
15.0,TOUHID ILAHI MOMIN,Independent,1460,0,1460,0.12
16.0,AJIT DHANAJI KHANDARE,Independent,1380,18,1398,0.12
17.0,BANDAGAR NANASO BALASO,Independent,1292,8,1300,0.11
18.0,JALINDAR MACHINDRA THOMAKE,Independent,1257,3,1260,0.11
19.0,SANGRAM RAJARAM MORE,Independent,1004,7,1011,0.09
20.0,DR AKASH VHATKAR,Independent,803,11,814,0.07
21.0,NOTA,None of the Above,6512,53,6565,0.56
