S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,716635,1775,718410,57.88
2.0,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,456943,1061,458004,36.9
3.0,BELE RAJESH WARLUJI,Vanchit Bahujan  Aaghadi,21934,46,21980,1.77
4.0,RAJENDRA HARISHCHANDRA RAMTEKE,Bahujan Samaj Party,9145,43,9188,0.74
5.0,SANJAY NILKANTH GAWANDE,Independent,5087,1,5088,0.41
6.0,DIWAKAR HARIJI URADE,Independent,3221,3,3224,0.26
7.0,NAMDEO MANIKRAO SHEDMAKE,Gondvana Gantantra Party,2238,18,2256,0.18
8.0,SEWAKDAS KAWDUJI BARKE,Peoples Party of India (Democratic),1997,1,1998,0.16
9.0,AWACHIT SHAMRAO SAYAM,Janseva Gondwana Party,1886,20,1906,0.15
10.0,MILIND PRALHAD DAHIWALE,Independent,1759,2,1761,0.14
11.0,ASHOK RANAJI RATHOD,Jay Vidarbha Party,1660,10,1670,0.13
12.0,VIKAS UTTAMRAO LASANTE,Sanman Rajkiya Paksha,1518,2,1520,0.12
13.0,VIDYASAGAR KALIDAS KASARLAWAR,Bhim Sena,1426,0,1426,0.11
14.0,VANITA JITENDRA RAUT,Akhil Bharatiya Manavata Paksha,1054,3,1057,0.09
15.0,PURNIMA DILIP GHONMODE,Bahujan Republican  Socialist Party,967,6,973,0.08
16.0,NOTA,None of the Above,10821,22,10843,0.87
