S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,ALOK SHARMA,Bharatiya Janata Party,978285,2824,981109,65.48
2.0,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,478698,912,479610,32.01
3.0,BHANU PRATAP SINGH,Bahujan Samaj Party,13255,50,13305,0.89
4.0,DEENDAYAL AHIRWAR URF DEENU BHAIYA,Independent,3639,2,3641,0.24
5.0,JAY SINGH,Independent,2509,1,2510,0.17
6.0,BHARTI YADAV,Independent,1833,6,1839,0.12
7.0,ANKIT RAI,Independent,1100,1,1101,0.07
8.0,DHANRAJ SHENDE,Republican Party of India (A),788,2,790,0.05
9.0,AJAY KUMAR PATHAK,Chhatrapati Shivaji Bhartiya Garib Party,787,3,790,0.05
10.0,MOHAMMAD ASHRAF,Independent,777,1,778,0.05
11.0,BABULAL SEN,Moulik Adhikar Party,718,2,720,0.05
12.0,SANJAY KUMAR SAROJ,Manav Samadhan Party,621,1,622,0.04
13.0,BALRAM SINGH TAUMAR,Bhartiya Shakti Chetna Party,587,1,588,0.04
14.0,RAMPRASAD PATEL,Kranti Janshakti Party,572,3,575,0.04
15.0,MUDIT CHAURASIA,Akhil Bhartiya Aarakshit Samaj Party,541,3,544,0.04
16.0,MUDIT BHATNAGAR,Socialist Unity Centre Of India (COMMUNIST),537,3,540,0.04
17.0,R.K. MAHAJAN,Independent,527,2,529,0.04
18.0,ABDUL TAHIR ADVOCATE (BABLU RAJNIKANT)  S/O SAEED PAHELWAN ANSARI,Bahujan Maha Party,473,0,473,0.03
19.0,MAITHILI SHARAN GUPTA,Independent,447,1,448,0.03
20.0,RAJESH KEER,Independent,427,0,427,0.03
21.0,AKSHAY GOTHI,Parivartan Party of India,403,4,407,0.03
22.0,HITENDRA SHAHARE (BABA),Independent,318,0,318,0.02
23.0,NOTA,None of the Above,6573,48,6621,0.44
