S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,518334,1856,520190,40.14
2.0,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,Shiv Sena (Uddhav Balasaheb Thackrey),504181,2583,506764,39.1
3.0,RAJU SHETTI,Swabhimani Paksha,178866,984,179850,13.88
4.0,D. C. PATIL DADASAHEB / DADGONDA CHAVGONDA PATIL,Vanchit Bahujan  Aaghadi,32591,105,32696,2.52
5.0,ASLAM AINODIN MULLA,Independent,6107,4,6111,0.47
6.0,ANANDRAO VASANTRAO SARNAIK (FOUJI BAPU),Independent,4944,11,4955,0.38
7.0,TANDALE LAXMAN SHIVAJI,Independent,4788,1,4789,0.37
8.0,PROF. PARASHURAM MANE,Independent,4467,10,4477,0.35
9.0,KAMBLE RAVINDRA TUKARAM,Bahujan Samaj Party,3968,65,4033,0.31
10.0,SATYAJEET PATIL (AABA),Independent,3602,30,3632,0.28
11.0,ANANDRAO TUKARAM THORAT,Independent,3497,2,3499,0.27
12.0,IMRAN IQBAL KHATIB,Bahujan Mukti Party,3172,18,3190,0.25
13.0,RAGHUNATHDADA PATIL,Bharatheeya Jawan Kisan Party,2146,28,2174,0.17
14.0,JAVED SIKANDAR MUJAVAR,Independent,1849,3,1852,0.14
15.0,SANTOSH KERBA KHOT,Kamgaar Kisan Party,1697,4,1701,0.13
16.0,DR. ISHWAR MAHADEV YAMGAR,Bharatiya Lokshakti Party,1520,17,1537,0.12
17.0,SHIVAJI DHONDIRAM SANKPAL,Independent,1390,2,1392,0.11
18.0,SHARAD BABURAO PATIL,National Black Panther Party,1356,5,1361,0.11
19.0,MANOHAR PRADIP SATPUTE,Independent,1063,3,1066,0.08
20.0,DHANAJI JAGANNATH GURAV (SHIVAREKAR),Lokrajya Janata Party,1054,7,1061,0.08
21.0,DAVARI LAXMAN SHRIPATI,Independent,1004,5,1009,0.08
22.0,RAJENDRA BHIMRAO MANE,Independent,935,5,940,0.07
23.0,DINAKARRAO TULSHIDAS CHAVAN (PATIL),All India Forward Bloc,674,5,679,0.05
24.0,RAMCHANDRA GOVINDRAO SALUNKHE,Independent,618,0,618,0.05
25.0,MOHITE DEVENDRA NANA,Independent,559,1,560,0.04
26.0,MANE ARVIND BHIVA,Independent,422,2,424,0.03
27.0,MAHAMMAD MUBARAK DARAVESHI,Independent,360,1,361,0.03
28.0,NOTA,None of the Above,5027,76,5103,0.39
