S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,DR. PRABHA MALLIKARJUN,Indian National Congress,631453,1606,633059,47.95
2.0,GAYITHRI SIDDESHWARA,Bharatiya Janata Party,604531,2434,606965,45.97
3.0,G.B.VINAY KUMAR,Independent,42624,283,42907,3.25
4.0,T.JABEENA AAPA,Independent,5127,1,5128,0.39
5.0,D. HANUMANTHAPPA,Bahujan Samaj Party,4462,13,4475,0.34
6.0,TASLIM BANU,Independent,4140,1,4141,0.31
7.0,T.CHANDRU,Independent,3043,0,3043,0.23
8.0,G.M.GAYITRI SIDDESHI,Independent,2453,11,2464,0.19
9.0,PARAVEEJ.H,Independent,1867,2,1869,0.14
10.0,ESHWARA SHENGA,Uttama Prajaakeeya Party,1424,6,1430,0.11
11.0,A.K.GANESH,Independent,1054,1,1055,0.08
12.0,M.C.SREENIVAS,Bharatiya Prajagala Kalyana Paksha,968,5,973,0.07
13.0,SYED ZABIULLA.K,Independent,843,1,844,0.06
14.0,ANABERU THIPPESWAMY,Socialist Unity Centre Of India (COMMUNIST),842,7,849,0.06
15.0,SALEEM S,Independent,799,0,799,0.06
16.0,MOHAMED HAYATH.M,Independent,721,1,722,0.05
17.0,ABDUL NAZEER AHAMMED,Independent,651,1,652,0.05
18.0,RASHEED KHAN,Independent,599,1,600,0.05
19.0,M.G.SRIKANTH,Navabharath Sena,555,6,561,0.04
20.0,M.P. KHALANDAR,Country Citizen Party,536,3,539,0.04
21.0,PEDDAPPA S,Independent,506,2,508,0.04
22.0,G.M.BARKATH ALI BASHA,Independent,470,1,471,0.04
23.0,K.S. VEERBHADRAPPA,Karnataka Rashtra Samithi,466,9,475,0.04
24.0,VEERESH.S (LION VEERESH),Rani Chennamma Party,457,1,458,0.03
25.0,DODDESH.H.S,Janahitha Paksha,439,1,440,0.03
26.0,BARKATH ALI,Independent,409,2,411,0.03
27.0,MANJU. MARIKOPPA,Independent,376,2,378,0.03
28.0,RUDRESHA.K.H,Samaj Vikas Kranti Party,346,2,348,0.03
29.0,RAVINAIK. B,Independent,317,3,320,0.02
30.0,MAHABUB BASHA,Independent,308,0,308,0.02
31.0,NOTA,None of the Above,3165,11,3176,0.24
