S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,KAUSHALENDRA KUMAR,Janata Dal  (United),557054,2368,559422,48.88
2.0,DR. SANDEEP SAURAV,Communist Party of India  (Marxist-Leninist)  (Liberation),388052,2256,390308,34.11
3.0,SUDHIR KUMAR,Sanyukt Kisan Vikas Party,25286,5,25291,2.21
4.0,SURENDRA PRASAD,Al-Hind Party,18571,5,18576,1.62
5.0,SHASHI KUMAR,Samaj Shakti Party,18472,8,18480,1.61
6.0,PRAMOD KUMAR NIRALA,Bahujan Samaj Party,15233,99,15332,1.34
7.0,AJEET KUMAR,Independent,14746,4,14750,1.29
8.0,VINAY PRATAP SINGH,Rashtriya Sanatan Party,9593,9,9602,0.84
9.0,SANJAY RAJESH,Karpoori Janta Dal,7878,9,7887,0.69
10.0,SUDHIR DAS,Independent,6804,2,6806,0.59
11.0,KANHAIYA LAL YADAV,Jagrook Janta Party,6665,27,6692,0.58
12.0,SANYUKTA KUMARI,Independent,6232,6,6238,0.55
13.0,AJIT KUMAR,Independent,5515,5,5520,0.48
14.0,SHYAM SUNDAR PRASAD,Independent,3922,10,3932,0.34
15.0,RAMESH KUMAR,Naki Bharatiya Ekta Party,3840,5,3845,0.34
16.0,KISLAY KUMAR,Independent,3599,3,3602,0.31
17.0,KESHO JAMADAR,Peoples Party of India (Democratic),3369,18,3387,0.3
18.0,SURENDER SINGH,Independent,3341,4,3345,0.29
19.0,DILIP KUMAR,Moolniwasi Samaj Party,2724,5,2729,0.24
20.0,NAND KISHOR PARASAD,Pragatisheel Magahi Samaj,2456,12,2468,0.22
21.0,NISHA RANJAN,Samata Party,2397,18,2415,0.21
22.0,SHASHIRANJAN SUMAN,Independent,2331,9,2340,0.2
23.0,GHANSHYAM PRASAD SINGH,Independent,2108,2,2110,0.18
24.0,KUMAR HARI CHARAN SINGH YADAV,Bharatiya Momin Front,1971,9,1980,0.17
25.0,MUNNA KUMAR,Sankhyanupati Bhagidari Party,1937,12,1949,0.17
26.0,MUNNA KUMAR,Samajwadi Lok Parishad,1867,13,1880,0.16
27.0,PAWAN KUMAR,Independent,1595,2,1597,0.14
28.0,PUJA DEVI,Independent,1491,14,1505,0.13
29.0,CHANDRA KISHOR PRASAD YADAV,Independent,1177,1,1178,0.1
30.0,NOTA,None of the Above,19110,107,19217,1.68
