S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,M. MALLESH BABU,Janata Dal  (Secular),689185,2296,691481,51.02
2.0,K V GOWTHAM,Indian National Congress,618700,1393,620093,45.76
3.0,SUMAN H N,Independent,6484,3,6487,0.48
4.0,HOLUR SRINIVASA,Independent,6159,4,6163,0.45
5.0,S B SURESHA,Bahujan Samaj Party,4688,44,4732,0.35
6.0,K R DEVARAJA,Delhi Janta Party,4588,9,4597,0.34
7.0,DR M. VENKATASWAMY,Independent,3336,18,3354,0.25
8.0,R RANJITHKUMAR,Independent,2116,2,2118,0.16
9.0,S N NARAYANASWAMY V,Independent,1971,14,1985,0.15
10.0,D GOPALAKRISHNA,Socialist Party (India),1661,8,1669,0.12
11.0,DEVARAJA A ALUSURUDINNE,Uttama Prajaakeeya Party,1343,11,1354,0.1
12.0,M S BADARINARAYANA,Independent,1104,12,1116,0.08
13.0,MAHESH A V,Karnataka Rashtra Samithi,1035,30,1065,0.08
14.0,THIMMARAYAPPA,Republican Party of India (Karnataka),856,8,864,0.06
15.0,R RAJENDRA,Independent,750,1,751,0.06
16.0,M MUNIGANGAPPA,Independent,595,9,604,0.04
17.0,M  C HALLI VENU,Viduthalai Chiruthaigal Katchi,514,7,521,0.04
18.0,KRISHNAIAH N,Independent,438,5,443,0.03
19.0,NOTA,None of the Above,5798,33,5831,0.43
