S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,685734,2981,688715,61.59
2.0,DR. PRABHABEN KISHORSINH TAVIYAD,Indian National Congress,352238,2800,355038,31.75
3.0,MEDA DEVENDRAKUMAR LAXMANBHAI,Independent,11068,7,11075,0.99
4.0,BHABHOR DHULABHAI DITABHAI,Bahujan Samaj Party,8621,11,8632,0.77
5.0,BARIYA MANILAL HIRABHAI,Independent,6576,12,6588,0.59
6.0,DAMOR VESTABHAI JOKHANABHAI,Independent,4374,26,4400,0.39
7.0,DAMOR MANABHAI BHAVSINGBHAI,Independent,3144,29,3173,0.28
8.0,JAGDISHBHAI MANILAL MEDA,Bharatiya National Janata Dal,3053,9,3062,0.27
9.0,PASAYA NAVALSINH MULABHAI,Saath Sahakar Vikas Party,2667,6,2673,0.24
10.0,NOTA,None of the Above,34774,164,34938,3.12
