S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,DR. RAJESH MISHRA,Bharatiya Janata Party,582664,895,583559,50.87
2.0,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,376336,807,377143,32.87
3.0,AJAY PRATAP SINGH,Gondvana Gantantra Party,50897,65,50962,4.44
4.0,PUJAN RAM SAKET (BABBU),Bahujan Samaj Party,33617,39,33656,2.93
5.0,LAXMAN SINGH BAIS,Independent,30634,28,30662,2.67
6.0,SANJAY NAMDEO,Communist Party of India,20284,6,20290,1.77
7.0,BHAGWAN PRASAD TIWARI,Independent,7330,1,7331,0.64
8.0,SUNIL TIWARI,Independent,5694,5,5699,0.5
9.0,SHYAMLAL VAISH,Bhartiya Shakti Chetna Party,5340,3,5343,0.47
10.0,KAILASH PRASAD VERMA,Independent,5289,2,5291,0.46
11.0,MAHENDRA BHAIYA,Independent,4658,0,4658,0.41
12.0,DASHRATH PRASAD BAIS,Independent,4131,0,4131,0.36
13.0,"NARAYAN DAS SHAH ""MULNIWASI""",Peoples Party of India (Democratic),3791,1,3792,0.33
14.0,DADDI YADAV,Independent,3301,4,3305,0.29
15.0,SMT. TARA DEVI SINGH,Rashtriya Jansanchar Dal,2701,6,2707,0.24
16.0,RAMSAHAY SAHU,Aapka Gantantra Party,2430,2,2432,0.21
17.0,RAMVISHAL KOL,Rashtriya Samaj Paksha,2079,8,2087,0.18
18.0,NOTA,None of the Above,4212,4,4216,0.37
