S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,NARAYAN TATU RANE,Bharatiya Janata Party,445339,3175,448514,49.07
2.0,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),396524,4132,400656,43.83
3.0,VINAYAK LAVU RAUT,Independent,15769,57,15826,1.73
4.0,MARUTI RAMACHANDRA JOSHI,Vanchit Bahujan  Aaghadi,9873,166,10039,1.1
5.0,AAYARE RAJENDRA LAHU,Bahujan Samaj Party,7796,60,7856,0.86
6.0,SHAKIL SAWANT,Independent,6373,22,6395,0.7
7.0,TAMBADE AMRUT ANANT (RAJAPURKAR),Independent,5563,19,5582,0.61
8.0,ASHOK GANGARAM PAWAR,Bahujan Mukti Party,5244,36,5280,0.58
9.0,SURESH GOVINDRAO SHINDE,Sainik Samaj Party,2209,38,2247,0.25
10.0,NOTA,None of the Above,11516,127,11643,1.27
