S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
1.0,JANARDAN MISHRA,Bharatiya Janata Party,475439,2020,477459,52.0
2.0,NEELAM ABHAY MISHRA,Indian National Congress,283187,898,284085,30.94
3.0,ADV. ABHISHEK MASTER BUDDHSEN PATEL,Bahujan Samaj Party,117089,132,117221,12.77
4.0,DAYASHANKAR PANDEY,Independent,4609,1,4610,0.5
5.0,ROSHAN LAL KOL,Independent,4110,12,4122,0.45
6.0,ER. DEVENDRA SINGH,Sapaks Party,4065,11,4076,0.44
7.0,ER. RAM KUMAR SONI,Independent,3868,5,3873,0.42
8.0,RAM GOPAL SINGH,Peoples Party of India (Democratic),3502,7,3509,0.38
9.0,PRASSAN JEET SINGH,Independent,3306,7,3313,0.36
10.0,JANARDAN MISHRA,Independent,2274,21,2295,0.25
11.0,RANJAN GUPTA,Rashtravadi Bharat Party,2151,9,2160,0.24
12.0,VIPIN SINGH PATEL,Rashtriya Hind Ekta Dal,1799,7,1806,0.2
13.0,ARUNENDRA NARAYAN PANDEY,Independent,1550,1,1551,0.17
14.0,ARUN TIWARI 'MINTU',Independent,1113,0,1113,0.12
15.0,NOTA,None of the Above,6916,20,6936,0.76
